estacao_id,nome_da_estacao,sistema,subsistema,operador,linha,fase,etapa,status,servico_expresso,latitude,longitude,origem_aba,cidade,distrito,latlon
cicero_pompeu_de_toledo,Cicero Pompeu de Toledo,Sistema Metropolitano,Em andamento -  Sistema leve,Em andamento -  Sistema leve,Linha 17 - Ouro,,,em construção,Não,-23.59666628810511,-46.72000378910371,dados,São Paulo,kml_24,"-23.596666,-46.720004"
caxingui,Caxingui,Sistema Metropolitano,Em andamento -  Sistema leve,Em andamento -  Sistema leve,Linha 17 - Ouro,,,em construção,Não,-23.5865168,-46.7244221,dados,São Paulo,kml_27,"-23.586517,-46.724422"
vila_paulista,Vila Paulista,Sistema Metropolitano,Em andamento -  Sistema leve,Em andamento -  Sistema leve,Linha 17 - Ouro,,,em construção,Não,-23.638274363088,-46.66221255635915,dados,São Paulo,kml_86,"-23.638274,-46.662213"
vila_babilonia,Vila Babilonia,Sistema Metropolitano,Em andamento -  Sistema leve,Em andamento -  Sistema leve,Linha 17 - Ouro,,,em construção,Não,-23.6436639,-46.65756880000001,dados,São Paulo,kml_86,"-23.643664,-46.657569"
cidade_leonor,Cidade Leonor,Sistema Metropolitano,Em andamento -  Sistema leve,Em andamento -  Sistema leve,Linha 17 - Ouro,,,em construção,Não,-23.6501280049329,-46.65186599286718,dados,São Paulo,kml_86,"-23.650128,-46.651866"
hospital_saboya,Hospital Saboya,Sistema Metropolitano,Em andamento -  Sistema leve,Em andamento -  Sistema leve,Linha 17 - Ouro,,,em construção,Não,-23.65348383986883,-46.64478530271541,dados,São Paulo,kml_86,"-23.653484,-46.644785"
jabaquara,Jabaquara,Sistema Metropolitano,Em andamento -  Sistema leve,Em andamento -  Sistema leve,Linha 17 - Ouro,,,em construção,Não,-23.64762845904022,-46.64082051392378,dados,São Paulo,kml_86,"-23.647628,-46.640821"
cerro_cora,Cerro Corá,Sistema Metropolitano,Em andamento - Subsistema primário,Em andamento - Subsistema primário,Linha 02 - Verde,Extensão até Cerro Corá,,em construção,Não,-23.54077010325403,-46.70100314621774,metropolitano,São Paulo,kml_45,"-23.540770,-46.701003"
orfanato,Orfanato,Sistema Metropolitano,Em andamento - Subsistema primário,Em andamento - Subsistema primário,Linha 02 - Verde,Extensão até Penha,,em construção,Não,-23.57840410829186,-46.57597868273462,metropolitano,São Paulo,kml_6,"-23.578404,-46.575979"
agua_rasa,Água Rasa,Sistema Metropolitano,Em andamento - Subsistema primário,Em andamento - Subsistema primário,Linha 02 - Verde,Extensão até Penha,,em construção,Não,-23.57382057513514,-46.56661733612687,metropolitano,São Paulo,kml_71,"-23.573821,-46.566617"
analia_franco,Anália Franco,Sistema Metropolitano,Em andamento - Subsistema primário,Em andamento - Subsistema primário,Linha 02 - Verde,Extensão até Penha,,em construção,Não,-23.56371217031051,-46.56008322386226,metropolitano,São Paulo,kml_33,"-23.563712,-46.560083"
vila_formosa,Vila Formosa,Sistema Metropolitano,Em andamento - Subsistema primário,Em andamento - Subsistema primário,Linha 02 - Verde,Extensão até Penha,,em construção,Não,-23.5623766,-46.5511663,metropolitano,São Paulo,kml_33,"-23.562377,-46.551166"
guilherme_giorgi,Guilherme Giorgi,Sistema Metropolitano,Em andamento - Subsistema primário,Em andamento - Subsistema primário,Linha 02 - Verde,Extensão até Penha,,em construção,Não,-23.5549363,-46.5454051,metropolitano,São Paulo,kml_76,"-23.554936,-46.545405"
nova_manchester,Nova Manchester,Sistema Metropolitano,Em andamento - Subsistema primário,Em andamento - Subsistema primário,Linha 02 - Verde,Extensão até Penha,,em construção,Não,-23.5474153,-46.54157530000001,metropolitano,São Paulo,kml_76,"-23.547415,-46.541575"
aricanduva,Aricanduva,Sistema Metropolitano,Em andamento - Subsistema primário,Em andamento - Subsistema primário,Linha 02 - Verde,Extensão até Penha,,em construção,Não,-23.5399587,-46.54089010000001,metropolitano,São Paulo,kml_80,"-23.539959,-46.540890"
penha,Penha,Sistema Metropolitano,Em andamento - Subsistema primário,Em andamento - Subsistema primário,Linha 02 - Verde,Extensão até Penha,,em construção,Não,-23.5334963,-46.5426159,metropolitano,São Paulo,kml_80,"-23.533496,-46.542616"
penha_de_franca,Penha de França,Sistema Metropolitano,Em andamento - Subsistema primário,Em andamento - Subsistema primário,Linha 02 - Verde,Extensão até Guarulhos,,em construção,Não,-23.5226603,-46.5463283,metropolitano,São Paulo,kml_34,"-23.522660,-46.546328"
gabriela_mistral,Gabriela Mistral,Sistema Metropolitano,Em andamento - Subsistema primário,Em andamento - Subsistema primário,Linha 02 - Verde,Extensão até Guarulhos,,em construção,Não,-23.51778852054716,-46.55101337370449,metropolitano,São Paulo,kml_34,"-23.517789,-46.551013"
fernao_dias,Fernão Dias,Sistema Metropolitano,Em andamento - Subsistema primário,Em andamento - Subsistema primário,Linha 02 - Verde,Extensão até Guarulhos,,em construção,Não,-23.51021874719306,-46.55718390023073,metropolitano,São Paulo,kml_10,"-23.510219,-46.557184"
ponte_grande,Ponte Grande,Sistema Metropolitano,Em andamento - Subsistema primário,Em andamento - Subsistema primário,Linha 02 - Verde,Extensão até Guarulhos,,em construção,Não,-23.49842365813057,-46.55100351896091,metropolitano,São Paulo,,"-23.498424,-46.551004"
dutra,Dutra,Sistema Metropolitano,Em andamento - Subsistema primário,Em andamento - Subsistema primário,Linha 02 - Verde,Extensão até Guarulhos,,em construção,Não,-23.48790543012961,-46.5464085218069,metropolitano,São Paulo,,"-23.487905,-46.546409"
brasilandia,Brasilândia,Sistema Metropolitano,Em andamento - Subsistema secundário,Em andamento - Subsistema secundário,Linha 06 - Laranja,,,em construção,Não,-23.46995454197407,-46.69775970689802,metropolitano,São Paulo,kml_61,"-23.469955,-46.697760"
vila_cardoso,Vila Cardoso,Sistema Metropolitano,Em andamento - Subsistema secundário,Em andamento - Subsistema secundário,Linha 06 - Laranja,,,em construção,Não,-23.4760566,-46.6988149,metropolitano,São Paulo,kml_61,"-23.476057,-46.698815"
itaberaba,Itaberaba,Sistema Metropolitano,Em andamento - Subsistema secundário,Em andamento - Subsistema secundário,Linha 06 - Laranja,,,em construção,Não,-23.4852853576051,-46.69360619871413,metropolitano,São Paulo,kml_61,"-23.485285,-46.693606"
joao_paulo_i,João Paulo I,Sistema Metropolitano,Em andamento - Subsistema secundário,Em andamento - Subsistema secundário,Linha 06 - Laranja,,,em construção,Não,-23.4934737,-46.69139049999999,metropolitano,São Paulo,kml_61,"-23.493474,-46.691390"
freguesa_do_o,Freguesa do Ó,Sistema Metropolitano,Em andamento - Subsistema secundário,Em andamento - Subsistema secundário,Linha 06 - Laranja,,,em construção,Não,-23.5021321,-46.6939226,metropolitano,São Paulo,kml_61,"-23.502132,-46.693923"
santa_marina,Santa Marina,Sistema Metropolitano,Em andamento - Subsistema secundário,Em andamento - Subsistema secundário,Linha 06 - Laranja,,,em construção,Não,-23.51453267905976,-46.69138323494762,metropolitano,São Paulo,kml_77,"-23.514533,-46.691383"
agua_branca,Água Branca,Sistema Metropolitano,Em andamento - Subsistema secundário,Em andamento - Subsistema secundário,Linha 06 - Laranja,,,em construção,Não,-23.52196168887671,-46.68728221517806,metropolitano,São Paulo,kml_77,"-23.521962,-46.687282"
pompeia,Pompeia,Sistema Metropolitano,Em andamento - Subsistema secundário,Em andamento - Subsistema secundário,Linha 06 - Laranja,,,em construção,Não,-23.52731965222186,-46.68331377781241,metropolitano,São Paulo,kml_83,"-23.527320,-46.683314"
perdizes,Perdizes,Sistema Metropolitano,Em andamento - Subsistema secundário,Em andamento - Subsistema secundário,Linha 06 - Laranja,,,em construção,Não,-23.5320406,-46.6769364,metropolitano,São Paulo,kml_83,"-23.532041,-46.676936"
cardoso_de_almeida,Cardoso de Almeida,Sistema Metropolitano,Em andamento - Subsistema secundário,Em andamento - Subsistema secundário,Linha 06 - Laranja,,,em construção,Não,-23.5389457,-46.668761,metropolitano,São Paulo,kml_83,"-23.538946,-46.668761"
angelica,Angélica,Sistema Metropolitano,Em andamento - Subsistema secundário,Em andamento - Subsistema secundário,Linha 06 - Laranja,,,em construção,Não,-23.54676308676027,-46.6611664805936,metropolitano,São Paulo,kml_84,"-23.546763,-46.661166"
higienopolis,Higienópolis,Sistema Metropolitano,Em andamento - Subsistema secundário,Em andamento - Subsistema secundário,Linha 06 - Laranja,,,em construção,Não,-23.55088411500879,-46.6541875879087,metropolitano,São Paulo,kml_84,"-23.550884,-46.654188"
14_bis,14 Bis,Sistema Metropolitano,Em andamento - Subsistema secundário,Em andamento - Subsistema secundário,Linha 06 - Laranja,,,em construção,Não,-23.55582423373882,-46.64946699594982,metropolitano,São Paulo,kml_60,"-23.555824,-46.649467"
bela_vista,Bela Vista,Sistema Metropolitano,Em andamento - Subsistema secundário,Em andamento - Subsistema secundário,Linha 06 - Laranja,,,em construção,Não,-23.56165226858497,-46.64461401749856,metropolitano,São Paulo,kml_60,"-23.561652,-46.644614"
sao_joaquim,São Joaquim,Sistema Metropolitano,Em andamento - Subsistema secundário,Em andamento - Subsistema secundário,Linha 06 - Laranja,,,em construção,Não,-23.56263868786163,-46.63910414858864,metropolitano,São Paulo,kml_5,"-23.562639,-46.639104"
pires_da_mota,Pires da Mota,Sistema Metropolitano,Em andamento - Subsistema secundário,Em andamento - Subsistema secundário,Linha 06 - Laranja,,,em construção,Não,-23.56501324947519,-46.63180009194504,metropolitano,São Paulo,kml_5,"-23.565013,-46.631800"
cambuci,Cambuci,Sistema Metropolitano,Em andamento - Subsistema secundário,Em andamento - Subsistema secundário,Linha 06 - Laranja,,,em construção,Não,-23.56409702627586,-46.62091559350338,metropolitano,São Paulo,kml_9,"-23.564097,-46.620916"
sao_carlos,São Carlos ● ◆,Sistema Metropolitano,Em andamento - Subsistema secundário,Em andamento - Subsistema secundário,Linha 06 - Laranja,Extensão Sudeste,,em construção,Sim,-23.56860352242343,-46.60473974292809,metropolitano,São Paulo,kml_41,"-23.568604,-46.604740"
vila_monumento,Vila Monumento,Sistema Metropolitano,Em andamento - Subsistema secundário,Em andamento - Subsistema secundário,Linha 06 - Laranja,Extensão Sudeste,,em construção,Não,-23.56735228215866,-46.61285217828991,metropolitano,São Paulo,kml_9,"-23.567352,-46.612852"
chacara_do_joquei,Chacara do Joquei,Sistema Metropolitano,Em andamento - Subsistema secundário,Em andamento - Subsistema secundário,Linha 04 - Amarela,Extensão Sudoeste,,em construção,Não,-23.60150535387402,-46.74380965147809,metropolitano,São Paulo,kml_14,"-23.601505,-46.743810"
taboao,Taboão,Sistema Metropolitano,Em andamento - Subsistema secundário,Em andamento - Subsistema secundário,Linha 04 - Amarela,Extensão Sudoeste,,em construção,Não,-23.6075354764747,-46.76058617820318,metropolitano,São Paulo,,"-23.607535,-46.760586"
boa_esperanca,Boa Esperança,Sistema Metropolitano,Em andamento -  Sistema leve,Em andamento -  Sistema leve,Linha 15 - Prata,Extensão Leste,,em construção,Não,-23.59693503918332,-46.45655813298834,metropolitano,São Paulo,kml_16,"-23.596935,-46.456558"
jacu_pessego,Jacú Pêssego,Sistema Metropolitano,Em andamento -  Sistema leve,Em andamento -  Sistema leve,Linha 15 - Prata,Extensão Leste,,em construção,Não,-23.5946668,-46.4447828,metropolitano,São Paulo,kml_16,"-23.594667,-46.444783"
erico_semer,Érico Semer,Sistema Metropolitano,Em andamento -  Sistema leve,Em andamento -  Sistema leve,Linha 15 - Prata,Extensão Leste,,em construção,Não,-23.5942047,-46.4237328,metropolitano,São Paulo,kml_16,"-23.594205,-46.423733"
jardim_pedra_branca,Jardim Pedra Branca,Sistema Metropolitano,Em andamento -  Sistema leve,Em andamento -  Sistema leve,Linha 15 - Prata,Extensão Leste,,em construção,Não,-23.5819846,-46.41526710000001,metropolitano,São Paulo,kml_2,"-23.581985,-46.415267"
cidade_tiradentes,Cidade Tiradentes,Sistema Metropolitano,Em andamento -  Sistema leve,Em andamento -  Sistema leve,Linha 15 - Prata,Extensão Leste,,em construção,Não,-23.5829875,-46.40942519999999,metropolitano,São Paulo,kml_2,"-23.582988,-46.409425"
hospital_cidade_tiradentes,Hospital Cidade Tiradentes,Sistema Metropolitano,Em andamento -  Sistema leve,Em andamento -  Sistema leve,Linha 15 - Prata,Extensão Leste,,em construção,Não,-23.59907465539806,-46.40211327503182,metropolitano,São Paulo,kml_2,"-23.599075,-46.402113"
ipiranga,Ipiranga,Sistema Metropolitano,Em andamento -  Sistema leve,Em andamento -  Sistema leve,Linha 15 - Prata,Extensão Oeste,,em construção,Não,-23.58275547295142,-46.59676505581938,metropolitano,São Paulo,kml_41,"-23.582755,-46.596765"
aeroporto_de_congonhas,Aeroporto de Congonhas,Sistema Metropolitano,Em andamento -  Sistema leve,Em andamento -  Sistema leve,Linha 17 - Ouro,,,em construção,Não,-23.62646267481276,-46.66138731630784,metropolitano,São Paulo,kml_85,"-23.626463,-46.661387"
morumbi,Morumbi,Sistema Metropolitano,Em andamento -  Sistema leve,Em andamento -  Sistema leve,Linha 17 - Ouro,,,em construção,Não,-23.62254366744638,-46.70266473563835,metropolitano,São Paulo,kml_74,"-23.622544,-46.702665"
chucri_zaidan,Chucri Zaidan,Sistema Metropolitano,Em andamento -  Sistema leve,Em andamento -  Sistema leve,Linha 17 - Ouro,,,em construção,Não,-23.6139713906409,-46.69554188112313,metropolitano,São Paulo,kml_57,"-23.613971,-46.695542"
vila_cordeiro,Vila Cordeiro,Sistema Metropolitano,Em andamento -  Sistema leve,Em andamento -  Sistema leve,Linha 17 - Ouro,,,em construção,Não,-23.6157537,-46.6883471,metropolitano,São Paulo,kml_57,"-23.615754,-46.688347"
campo_belo,Campo Belo,Sistema Metropolitano,Em andamento -  Sistema leve,Em andamento -  Sistema leve,Linha 17 - Ouro,,,em construção,Não,-23.6191746,-46.6826179,metropolitano,São Paulo,kml_57,"-23.619175,-46.682618"
vereador_jose_diniz,Vereador José Diniz,Sistema Metropolitano,Em andamento -  Sistema leve,Em andamento -  Sistema leve,Linha 17 - Ouro,,,em construção,Não,-23.6219073,-46.6791632,metropolitano,São Paulo,kml_85,"-23.621907,-46.679163"
brooklin_paulista,Brooklin Paulista,Sistema Metropolitano,Em andamento -  Sistema leve,Em andamento -  Sistema leve,Linha 17 - Ouro,,,em construção,Não,-23.6291222,-46.67403479999999,metropolitano,São Paulo,kml_85,"-23.629122,-46.674035"
jardim_aeroporto,Jardim Aeroporto,Sistema Metropolitano,Em andamento -  Sistema leve,Em andamento -  Sistema leve,Linha 17 - Ouro,,,em construção,Não,-23.63440255303385,-46.66838878876294,metropolitano,São Paulo,kml_85,"-23.634403,-46.668389"
